## Header 
## Datatype: 
## Date: 2020-01-15
## Sampling Rate: 100 Hz
## time [s]; Force [N]
1.67;1.0363
1.68;1.3867
1.69;1.6536
1.7;1.7232
1.71;1.5824
1.72;1.334
1.73;1.1454
1.74;1.1547
1.75;1.3877
1.76;1.7356
1.77;2.0102
1.78;2.049
1.79;1.8123
1.8;1.4122
1.81;1.0548
1.82;0.924
1.83;1.0733
1.84;1.39
1.85;1.6551
1.86;1.6681
1.87;1.3647
1.88;0.85919
1.89;0.3833
1.9;0.1547
1.91;0.25089
1.92;0.56189
1.93;0.85135
1.94;0.89233
1.95;0.59977
1.96;0.082206
1.97;-0.41838
1.98;-0.66483
1.99;-0.56135
2;-0.20902
2.01;0.15254
2.02;0.28357
2.03;0.082711
2.04;-0.35479
2.05;-0.79248
2.06;-0.98929
2.07;-0.83778
2.08;-0.42426
2.09;0.0229
2.1;0.26581
2.11;0.19281
2.12;-0.12037
2.13;-0.45786
2.14;-0.58995
2.15;-0.40431
2.16;0.032945
2.17;0.51923
2.18;0.83364
2.19;0.86156
2.2;0.65477
2.21;0.39541
2.22;0.28792
2.23;0.443
2.24;0.8195
2.25;1.254
2.26;1.5571
2.27;1.6192
2.28;1.4656
2.29;1.2341
2.3;1.0917
2.31;1.1412
2.32;1.3699
2.33;1.6644
2.34;1.8795
2.35;1.9181
2.36;1.7781
2.37;1.5447
2.38;1.3376
2.39;1.2459
2.4;1.2861
2.41;1.4025
2.42;1.5035
2.43;1.5105
2.44;1.3944
2.45;1.1824
2.46;0.93918
2.47;0.73427
2.48;0.6124
2.49;0.57859
2.5;0.6
2.51;0.62141
2.52;0.5876
2.53;0.46573
2.54;0.26082
2.55;0.017648
2.56;-0.19436
2.57;-0.31052
2.58;-0.30347
2.59;-0.20251
2.6;-0.086095
2.61;-0.045898
2.62;-0.13765
2.63;-0.34474
2.64;-0.57812
2.65;-0.71813
2.66;-0.67951
2.67;-0.46437
2.68;-0.16987
2.69;0.058798
2.7;0.10834
2.71;-0.034101
2.72;-0.26564
2.73;-0.41922
2.74;-0.35712
2.75;-0.05399
2.76;0.3805
2.77;0.757
2.78;0.91208
2.79;0.80459
2.8;0.54523
2.81;0.33844
2.82;0.36636
2.83;0.68077
2.84;1.1671
2.85;1.6043
2.86;1.79
2.87;1.6579
2.88;1.3204
2.89;1.0072
2.9;0.93419
2.91;1.1771
2.92;1.6243
2.93;2.0378
2.94;2.1893
2.95;1.9925
2.96;1.5548
2.97;1.1173
2.98;0.91643
2.99;1.0475
3;1.409
3.01;1.7614
3.02;1.8648
3.03;1.6184
3.04;1.1178
3.05;0.60023
3.06;0.30767
3.07;0.34865
3.08;0.63811
3.09;0.94911
3.1;1.0453
3.11;0.8167
3.12;0.34081
3.13;-0.16466
3.14;-0.46807
3.15;-0.45513
3.16;-0.19
3.17;0.1267
3.18;0.276
3.19;0.14516
3.2;-0.21222
3.21;-0.61228
3.22;-0.84899
3.23;-0.81017
3.24;-0.53565
3.25;-0.18769
3.26;0.045347
3.27;0.054581
3.28;-0.13403
3.29;-0.38237
3.3;-0.52318
3.31;-0.4536
3.32;-0.18673
3.33;0.16373
3.34;0.45194
3.35;0.57988
3.36;0.54447
3.37;0.42973
3.38;0.354
3.39;0.40482
3.4;0.59717
3.41;0.8736
3.42;1.1406
3.43;1.3178
3.44;1.374
3.45;1.3346
3.46;1.2623
3.47;1.2246
3.48;1.2643
3.49;1.3847
3.5;1.5511
3.51;1.7066
3.52;1.7946
3.53;1.7807
3.54;1.6688
3.55;1.5026
3.56;1.3506
3.57;1.2769
3.58;1.3083
3.59;1.4152
3.6;1.5192
3.61;1.5286
3.62;1.3881
3.63;1.1149
3.64;0.79881
3.65;0.56037
3.66;0.48597
3.67;0.57482
3.68;0.73118
3.69;0.81143
3.7;0.70398
3.71;0.39776
3.72;-0.0024859
3.73;-0.32777
3.74;-0.43842
3.75;-0.30711
3.76;-0.041553
3.77;0.17082
3.78;0.16847
3.79;-0.087994
3.8;-0.48614
3.81;-0.81997
3.82;-0.90589
3.83;-0.69081
3.84;-0.28821
3.85;0.081932
3.86;0.21782
3.87;0.053889
3.88;-0.29716
3.89;-0.60545
3.9;-0.65518
3.91;-0.37089
3.92;0.1353
3.93;0.62481
3.94;0.86843
3.95;0.77877
3.96;0.46208
3.97;0.15803
3.98;0.10155
3.99;0.38625
4;0.90902
4.01;1.4283
4.02;1.7024
4.03;1.6285
4.04;1.3004
4.05;0.95319
4.06;0.82697
4.07;1.0284
4.08;1.4705
4.09;1.9247
4.1;2.1529
4.11;2.0438
4.12;1.6733
4.13;1.2581
4.14;1.0287
4.15;1.0987
4.16;1.4031
4.17;1.7409
4.18;1.8929
4.19;1.7463
4.2;1.355
4.21;0.90309
4.22;0.59727
4.23;0.55051
4.24;0.72393
4.25;0.95643
4.26;1.061
4.27;0.93013
4.28;0.59147
4.29;0.18481
4.3;-0.1208
4.31;-0.22059
4.32;-0.12574
4.33;0.051988
4.34;0.16874
4.35;0.12846
4.36;-0.070029
4.37;-0.34084
4.38;-0.56387
4.39;-0.64987
4.4;-0.58233
4.41;-0.41726
4.42;-0.24692
4.43;-0.15052
4.44;-0.15841
4.45;-0.24444
4.46;-0.34538
4.47;-0.39341
4.48;-0.34555
4.49;-0.19871
4.5;0.012215
4.51;0.22984
4.52;0.3967
4.53;0.47769
4.54;0.47549
4.55;0.43258
4.56;0.41611
4.57;0.48853
4.58;0.67506
4.59;0.94433
4.6;1.216
4.61;1.3966
4.62;1.4288
4.63;1.3278
4.64;1.1815
4.65;1.1085
4.66;1.1932
4.67;1.4332
4.68;1.7309
4.69;1.9411
4.7;1.9507
4.71;1.7473
4.72;1.4345
4.73;1.1803
4.74;1.1236
4.75;1.291
4.76;1.5744
4.77;1.7863
4.78;1.765
4.79;1.4713
4.8;1.0183
4.81;0.61237
4.82;0.43805
4.83;0.54941
4.84;0.83414
4.85;1.0736
4.86;1.0676
4.87;0.752
4.88;0.24136
4.89;-0.23267
4.9;-0.45239
4.91;-0.34039
4.92;-0.0068478
4.93;0.31164
4.94;0.38781
4.95;0.13618
4.96;-0.33517
4.97;-0.78479
4.98;-0.97608
4.99;-0.81391
5;-0.4
5.01;0.025312
5.02;0.22155
5.03;0.086594
5.04;-0.28504
5.05;-0.65766
5.06;-0.79094
5.07;-0.57815
5.08;-0.10632
5.09;0.39553
5.1;0.68888
5.11;0.6615
5.12;0.38861
5.13;0.085589
5.14;-0.018223
5.15;0.18918
5.16;0.64144
5.17;1.1358
5.18;1.4512
5.19;1.4731
5.2;1.2534
5.21;0.97423
5.22;0.84034
5.23;0.96273
5.24;1.3006
5.25;1.691
5.26;1.9451
5.27;1.9537
5.28;1.7428
5.29;1.4507
5.3;1.2454
5.31;1.2302
5.32;1.3932
5.33;1.6217
5.34;1.7713
5.35;1.7457
5.36;1.5434
5.37;1.2504
5.38;0.98706
5.39;0.84304
5.4;0.83557
5.41;0.90945
5.42;0.97348
5.43;0.94966
5.44;0.80902
5.45;0.5792
5.46;0.32509
5.47;0.11624
5.48;-0.0025118
5.49;-0.02621
5.5;0.012215
5.51;0.05734
5.52;0.053664
5.53;-0.031974
5.54;-0.19498
5.55;-0.39107
5.56;-0.55132
5.57;-0.61166
5.58;-0.54535
5.59;-0.38238
5.6;-0.2019
5.61;-0.096324
5.62;-0.12212
5.63;-0.26343
5.64;-0.43196
5.65;-0.50877
5.66;-0.40936
5.67;-0.13649
5.68;0.21199
5.69;0.49029
5.7;0.58455
5.71;0.48139
5.72;0.28326
5.73;0.15683
5.74;0.23952
5.75;0.55643
5.76;0.99775
5.77;1.374
5.78;1.5219
5.79;1.4002
5.8;1.1199
5.81;0.88555
5.82;0.87969
5.83;1.1545
5.84;1.5958
5.85;1.9831
5.86;2.1145
5.87;1.9245
5.88;1.5261
5.89;1.1496
5.9;1.0117
5.91;1.1887
5.92;1.57
5.93;1.9182
5.94;2.0057
5.95;1.747
5.96;1.2503
5.97;0.75717
5.98;0.50481
5.99;0.58904
6;0.90902
6.01;1.2255
6.02;1.2992
6.03;1.0294
6.04;0.51221
6.05;-0.015061
6.06;-0.31032
6.07;-0.26498
6.08;0.035822
6.09;0.36503
6.1;0.48609
6.11;0.28872
6.12;-0.14991
6.13;-0.61252
6.14;-0.86797
6.15;-0.80252
6.16;-0.48092
6.17;-0.10442
6.18;0.10731
6.19;0.040815
6.2;-0.25103
6.21;-0.58511
6.22;-0.75615
6.23;-0.65271
6.24;-0.31537
6.25;0.092893
6.26;0.38304
6.27;0.44553
6.28;0.30572
6.29;0.10118
6.3;-0.001361
6.31;0.10055
6.32;0.39344
6.33;0.7633
6.34;1.0641
6.35;1.1976
6.36;1.1607
6.37;1.0375
6.38;0.94639
6.39;0.97506
6.4;1.1388
6.41;1.3804
6.42;1.6067
6.43;1.7381
6.44;1.7436
6.45;1.6492
6.46;1.5184
6.47;1.4193
6.48;1.3953
6.49;1.4506
6.5;1.5511
6.51;1.6407
6.52;1.6635
6.53;1.586
6.54;1.4127
6.55;1.188
6.56;0.98112
6.57;0.85668
6.58;0.84216
6.59;0.90848
6.6;0.97759
6.61;0.95837
6.62;0.79574
6.63;0.50714
6.64;0.18254
6.65;-0.057357
6.66;-0.12617
6.67;-0.024752
6.68;0.15101
6.69;0.25727
6.7;0.18216
6.71;-0.085789
6.72;-0.44224
6.73;-0.71872
6.74;-0.77611
6.75;-0.58769
6.76;-0.26183
6.77;0.013367
6.78;0.075622
6.79;-0.11517
6.8;-0.44733
6.81;-0.71562
6.82;-0.73719
6.83;-0.45969
6.84;0.0026974
6.85;0.42932
6.86;0.61772
6.87;0.50175
6.88;0.19356
6.89;-0.077476
6.9;-0.095967
6.91;0.21319
6.92;0.73759
6.93;1.2384
6.94;1.4864
6.95;1.3941
6.96;1.0677
6.97;0.747
6.98;0.6672
6.99;0.92213
7;1.409
7.01;1.8867
7.02;2.1141
7.03;1.9887
7.04;1.6049
7.05;1.1986
7.06;1.0105
7.07;1.148
7.08;1.5248
7.09;1.913
7.1;2.0755
7.11;1.9014
7.12;1.4676
7.13;0.99145
7.14;0.70416
7.15;0.71986
7.16;0.97435
7.17;1.2672
7.18;1.3795
7.19;1.1992
7.2;0.78035
7.21;0.30748
7.22;-0.012534
7.23;-0.06654
7.24;0.10668
7.25;0.34601
7.26;0.46433
7.27;0.35408
7.28;0.042567
7.29;-0.33068
7.3;-0.597
7.31;-0.65208
7.32;-0.5076
7.33;-0.27589
7.34;-0.10141
7.35;-0.080887
7.36;-0.21619
7.37;-0.42215
7.38;-0.5794
7.39;-0.59945
7.4;-0.46652
7.41;-0.23739
7.42;-0.0050374
7.43;0.15061
7.44;0.19855
7.45;0.16427
7.46;0.11042
7.47;0.10429
7.48;0.18839
7.49;0.36536
7.5;0.6
7.51;0.83464
7.52;1.0116
7.53;1.0957
7.54;1.0896
7.55;1.0357
7.56;1.0014
7.57;1.0494
7.58;1.205
7.59;1.4374
7.6;1.6665
7.61;1.7994
7.62;1.7794
7.63;1.6222
7.64;1.4162
7.65;1.2809
7.66;1.3014
7.67;1.4759
7.68;1.7076
7.69;1.8521
7.7;1.797
7.71;1.5307
7.72;1.1574
7.73;0.84592
7.74;0.73567
7.75;0.85399
7.76;1.0933
7.77;1.2665
7.78;1.2125
7.79;0.89252
7.8;0.41965
7.81;0.00077539
7.82;-0.17955
7.83;-0.067152
7.84;0.22565
7.85;0.48014
7.86;0.49584
7.87;0.20855
7.88;-0.26762
7.89;-0.70136
7.9;-0.87546
7.91;-0.71303
7.92;-0.32479
7.93;0.052014
7.94;0.18945
7.95;0.0013555
7.96;-0.40492
7.97;-0.78867
7.98;-0.91406
7.99;-0.68668
8;-0.20902
8.01;0.27787
8.02;0.5328
8.03;0.453
8.04;0.13234
8.05;-0.19407
8.06;-0.28641
8.07;-0.038446
8.08;0.46241
8.09;0.98681
8.1;1.296
8.11;1.2775
8.12;1.0064
8.13;0.69825
8.14;0.58228
8.15;0.77068
8.16;1.1973
8.17;1.6597
8.18;1.9372
8.19;1.9156
8.2;1.6473
8.21;1.3152
8.22;1.1244
8.23;1.1866
8.24;1.4618
8.25;1.7877
8.26;1.9761
8.27;1.9187
8.28;1.6422
8.29;1.2858
8.3;1.0178
8.31;0.94273
8.32;1.049
8.33;1.2248
8.34;1.3262
8.35;1.2574
8.36;1.0175
8.37;0.69286
8.38;0.40426
8.39;0.24163
8.4;0.22241
8.41;0.29152
8.42;0.35784
8.43;0.34332
8.44;0.21888
8.45;0.011999
8.46;-0.21271
8.47;-0.38603
8.48;-0.46353
8.49;-0.44072
8.5;-0.35106
8.51;-0.25056
8.52;-0.19535
8.53;-0.21926
8.54;-0.31841
8.55;-0.44923
8.56;-0.54356
8.57;-0.53805
8.58;-0.40674
8.59;-0.18035
8.6;0.061243
8.61;0.22494
8.62;0.25361
8.63;0.16247
8.64;0.039255
8.65;0.0023897
8.66;0.13592
8.67;0.4367
8.68;0.80656
8.69;1.0994
8.7;1.2014
8.71;1.0988
8.72;0.89428
8.73;0.75447
8.74;0.81696
8.75;1.1071
8.76;1.5154
8.77;1.8527
8.78;1.9561
8.79;1.7851
8.8;1.451
8.81;1.1592
8.82;1.0927
8.83;1.3044
8.84;1.6809
8.85;2.0025
8.86;2.068
8.87;1.8125
8.88;1.3499
8.89;0.91128
8.9;0.71391
8.91;0.83497
8.92;1.1642
8.93;1.465
8.94;1.5103
8.95;1.2151
8.96;0.68779
8.97;0.17059
8.98;-0.099178
8.99;-0.025475
9;0.29098
9.01;0.61096
9.02;0.69519
9.03;0.44283
9.04;-0.050266
9.05;-0.54703
9.06;-0.80571
9.07;-0.71816
9.08;-0.36997
9.09;0.011251
9.1;0.18835
9.11;0.050421
9.12;-0.32606
9.13;-0.72451
9.14;-0.91453
9.15;-0.78311
9.16;-0.39576
9.17;0.045515
9.18;0.32031
9.19;0.31445
9.2;0.080133
9.21;-0.2002
9.22;-0.32189
9.23;-0.17404
9.24;0.20225
9.25;0.64357
9.26;0.96048
9.27;1.0432
9.28;0.91674
9.29;0.71861
9.3;0.61545
9.31;0.70971
9.32;0.98801
9.33;1.3365
9.34;1.6094
9.35;1.7088
9.36;1.632
9.37;1.4634
9.38;1.3221
9.39;1.2963
9.4;1.4019
9.41;1.5824
9.42;1.7453
9.43;1.8117
9.44;1.7513
9.45;1.5911
9.46;1.395
9.47;1.232
9.48;1.1463
9.49;1.1427
9.5;1.1878
9.51;1.2262
9.52;1.2025
9.53;1.0838
9.54;0.87491
9.55;0.6208
9.56;0.39098
9.57;0.25034
9.58;0.22652
9.59;0.29055
9.6;0.36443
9.61;0.35696
9.62;0.21294
9.63;-0.050408
9.64;-0.34341
9.65;-0.5457
9.66;-0.57134
9.67;-0.42169
9.68;-0.19316
9.69;-0.030206
9.7;-0.045356
9.71;-0.25074
9.72;-0.54275
9.73;-0.75365
9.74;-0.74506
9.75;-0.49101
9.76;-0.10062
9.77;0.23727
9.78;0.35966
9.79;0.22577
9.8;-0.053384
9.81;-0.27315
9.82;-0.25124
9.83;0.064208
9.84;0.55856
9.85;1.0108
9.86;1.2182
9.87;1.1144
9.88;0.81139
9.89;0.5385
9.9;0.51112
9.91;0.80447
9.92;1.3063
9.93;1.7782
9.94;1.9909
9.95;1.8577
9.96;1.485
9.97;1.1134
9.98;0.97845
9.99;1.1747
10;1.6
10.01;2.0139
10.02;2.1761
10.03;1.9848
10.04;1.5352
10.05;1.0638
10.06;0.81219
10.07;0.88836
10.08;1.2068
10.09;1.5404
10.1;1.6524
10.11;1.4327
10.12;0.95864
10.13;0.448
10.14;0.13243
10.15;0.12636
10.16;0.36586
10.17;0.65059
10.18;0.76195
10.19;0.58763
10.2;0.18173
10.21;-0.27134
10.22;-0.56496
10.23;-0.58627
10.24;-0.37444
10.25;-0.091007
10.26;0.076399
10.27;0.019651
10.28;-0.23455
10.29;-0.54732
10.3;-0.7507
10.31;-0.74108
10.32;-0.53089
10.33;-0.2332
10.34;0.006761
10.35;0.091539
10.36;0.018523
10.37;-0.12782
10.38;-0.22881
10.39;-0.19659
10.4;-0.015991
10.41;0.25567
10.42;0.52494
10.43;0.71147
10.44;0.78389
10.45;0.76742
10.46;0.72451
10.47;0.72231
10.48;0.8033
10.49;0.97016
10.5;1.1878
10.51;1.3987
10.52;1.5455
10.53;1.5934
10.54;1.5454
10.55;1.4444
10.56;1.3584
10.57;1.3505
10.58;1.4469
10.59;1.6173
10.6;1.7823
10.61;1.8499
10.62;1.7639
10.63;1.5408
10.64;1.27
10.65;1.0715
10.66;1.0313
10.67;1.148
10.68;1.3257
10.69;1.4206
10.7;1.3208
10.71;1.0152
10.72;0.60853
10.73;0.26987
10.74;0.13903
10.75;0.24357
10.76;0.47607
10.77;0.64949
10.78;0.60273
10.79;0.29691
10.8;-0.15498
10.81;-0.54633
10.82;-0.69289
10.83;-0.54087
10.84;-0.20305
10.85;0.10135
10.86;0.17126
10.87;-0.058103
10.88;-0.47331
10.89;-0.84375
10.9;-0.95292
10.91;-0.72467
10.92;-0.27049
10.93;0.17163
10.94;0.37303
10.95;0.24681
10.96;-0.1004
10.97;-0.42855
10.98;-0.50244
10.99;-0.22826
11;0.29098
11.01;0.81375
11.02;1.0985
11.03;1.042
11.04;0.73792
11.05;0.42123
11.06;0.33157
11.07;0.57519
11.08;1.0647
11.09;1.5709
11.1;1.8552
11.11;1.8054
11.12;1.4972
11.13;1.1461
11.14;0.98218
11.15;1.1181
11.16;1.4882
11.17;1.8908
11.18;2.1059
11.19;2.02
11.2;1.6861
11.21;1.288
11.22;1.0315
11.23;1.0292
11.24;1.2416
11.25;1.5071
11.26;1.6384
11.27;1.5278
11.28;1.2025
11.29;0.80224
11.3;0.49602
11.31;0.38857
11.32;0.46882
11.33;0.62518
11.34;0.71403
11.35;0.63963
11.36;0.40119
11.37;0.085056
11.38;-0.18814
11.39;-0.32861
11.4;-0.31918
11.41;-0.21523
11.42;-0.10831
11.43;-0.076919
11.44;-0.15064
11.45;-0.30261
11.46;-0.46881
11.47;-0.5807
11.48;-0.59456
11.49;-0.50661
11.5;-0.35106
11.51;-0.18467
11.52;-0.064318
11.53;-0.024587
11.54;-0.062313
11.55;-0.13462
11.56;-0.17403
11.57;-0.11782
11.58;0.059412
11.59;0.3264
11.6;0.60283
11.61;0.79518
11.62;0.846
11.63;0.77027
11.64;0.65553
11.65;0.62012
11.66;0.74806
11.67;1.0363
11.68;1.3867
11.69;1.6536
11.7;1.7232
11.71;1.5824
11.72;1.334
11.73;1.1454
11.74;1.1547
11.75;1.3877
11.76;1.7356
11.77;2.0102
11.78;2.049
11.79;1.8123
11.8;1.4122
11.81;1.0548
11.82;0.924
11.83;1.0733
11.84;1.39
11.85;1.6551
11.86;1.6681
11.87;1.3647
11.88;0.85919
11.89;0.3833
11.9;0.1547
11.91;0.25089
11.92;0.56189
11.93;0.85135
11.94;0.89233
11.95;0.59977
11.96;0.082206
11.97;-0.41838
11.98;-0.66483
11.99;-0.56135
12;-0.20902
12.01;0.15254
12.02;0.28357
12.03;0.082711
12.04;-0.35479
12.05;-0.79248
12.06;-0.98929
12.07;-0.83778
12.08;-0.42426
12.09;0.0229
12.1;0.26581
12.11;0.19281
12.12;-0.12037
12.13;-0.45786
12.14;-0.58995
12.15;-0.40431
12.16;0.032945
12.17;0.51923
12.18;0.83364
12.19;0.86156
12.2;0.65477
12.21;0.39541
12.22;0.28792
12.23;0.443
12.24;0.8195
12.25;1.254
12.26;1.5571
12.27;1.6192
12.28;1.4656
12.29;1.2341
12.3;1.0917
12.31;1.1412
12.32;1.3699
12.33;1.6644
12.34;1.8795
12.35;1.9181
12.36;1.7781
12.37;1.5447
12.38;1.3376
12.39;1.2459
12.4;1.2861
12.41;1.4025
12.42;1.5035
12.43;1.5105
12.44;1.3944
12.45;1.1824
12.46;0.93918
12.47;0.73427
12.48;0.6124
12.49;0.57859
12.5;0.6
12.51;0.62141
12.52;0.5876
12.53;0.46573
12.54;0.26082
12.55;0.017648
12.56;-0.19436
12.57;-0.31052
12.58;-0.30347
12.59;-0.20251
12.6;-0.086095
12.61;-0.045898
12.62;-0.13765
12.63;-0.34474
12.64;-0.57812
12.65;-0.71813
12.66;-0.67951
12.67;-0.46437
12.68;-0.16987
12.69;0.058798
12.7;0.10834
12.71;-0.034101
12.72;-0.26564
12.73;-0.41922
12.74;-0.35712
12.75;-0.05399
12.76;0.3805
12.77;0.757
12.78;0.91208
12.79;0.80459
12.8;0.54523
12.81;0.33844
12.82;0.36636
12.83;0.68077
12.84;1.1671
12.85;1.6043
12.86;1.79
12.87;1.6579
12.88;1.3204
12.89;1.0072
12.9;0.93419
12.91;1.1771
12.92;1.6243
12.93;2.0378
12.94;2.1893
12.95;1.9925
12.96;1.5548
12.97;1.1173
12.98;0.91643
12.99;1.0475
13;1.409
13.01;1.7614
13.02;1.8648
13.03;1.6184
13.04;1.1178
13.05;0.60023
13.06;0.30767
13.07;0.34865
13.08;0.63811
13.09;0.94911
13.1;1.0453
13.11;0.8167
13.12;0.34081
13.13;-0.16466
13.14;-0.46807
13.15;-0.45513
13.16;-0.19
13.17;0.1267
13.18;0.276
13.19;0.14516
13.2;-0.21222
13.21;-0.61228
13.22;-0.84899
13.23;-0.81017
13.24;-0.53565
13.25;-0.18769
13.26;0.045347
13.27;0.054581
13.28;-0.13403
13.29;-0.38237
13.3;-0.52318
13.31;-0.4536
13.32;-0.18673
13.33;0.16373
13.34;0.45194
13.35;0.57988
13.36;0.54447
13.37;0.42973
13.38;0.354
13.39;0.40482
13.4;0.59717
13.41;0.8736
13.42;1.1406
13.43;1.3178
13.44;1.374
13.45;1.3346
13.46;1.2623
13.47;1.2246
13.48;1.2643
13.49;1.3847
13.5;1.5511
13.51;1.7066
13.52;1.7946
13.53;1.7807
13.54;1.6688
13.55;1.5026
13.56;1.3506
13.57;1.2769
13.58;1.3083
13.59;1.4152
13.6;1.5192
13.61;1.5286
13.62;1.3881
13.63;1.1149
13.64;0.79881
13.65;0.56037
13.66;0.48597
13.67;0.57482
13.68;0.73118
13.69;0.81143
13.7;0.70398
13.71;0.39776
13.72;-0.0024859
13.73;-0.32777
13.74;-0.43842
13.75;-0.30711
13.76;-0.041553
13.77;0.17082
13.78;0.16847
13.79;-0.087994
13.8;-0.48614
13.81;-0.81997
13.82;-0.90589
13.83;-0.69081
13.84;-0.28821
13.85;0.081932
13.86;0.21782
13.87;0.053889
13.88;-0.29716
13.89;-0.60545
13.9;-0.65518
13.91;-0.37089
13.92;0.1353
13.93;0.62481
13.94;0.86843
13.95;0.77877
13.96;0.46208
13.97;0.15803
13.98;0.10155
13.99;0.38625
14;0.90902
14.01;1.4283
14.02;1.7024
14.03;1.6285
14.04;1.3004
14.05;0.95319
14.06;0.82697
14.07;1.0284
14.08;1.4705
14.09;1.9247
14.1;2.1529
14.11;2.0438
14.12;1.6733
14.13;1.2581
14.14;1.0287
14.15;1.0987
14.16;1.4031
14.17;1.7409
14.18;1.8929
14.19;1.7463
14.2;1.355
14.21;0.90309
14.22;0.59727
14.23;0.55051
14.24;0.72393
14.25;0.95643
14.26;1.061
14.27;0.93013
14.28;0.59147
14.29;0.18481
14.3;-0.1208
14.31;-0.22059
14.32;-0.12574
14.33;0.051988
14.34;0.16874
14.35;0.12846
14.36;-0.070029
14.37;-0.34084
14.38;-0.56387
14.39;-0.64987
14.4;-0.58233
14.41;-0.41726
14.42;-0.24692
14.43;-0.15052
14.44;-0.15841
14.45;-0.24444
14.46;-0.34538
14.47;-0.39341
14.48;-0.34555
14.49;-0.19871
14.5;0.012215
14.51;0.22984
14.52;0.3967
14.53;0.47769
14.54;0.47549
14.55;0.43258
14.56;0.41611
14.57;0.48853
14.58;0.67506
14.59;0.94433
14.6;1.216
14.61;1.3966
14.62;1.4288
14.63;1.3278
14.64;1.1815
14.65;1.1085
14.66;1.1932
14.67;1.4332
14.68;1.7309
14.69;1.9411
14.7;1.9507
14.71;1.7473
14.72;1.4345
14.73;1.1803
14.74;1.1236
14.75;1.291
14.76;1.5744
